Title,Location,Salary,Description 1,Salary1,Focus,Days,Title1,Company,jobsearchrnnx2x1,Location1,Salary2,mtxxsm1,days
Security Controls Assessor,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Security Controls Assessor,,,United States,$250K (Employer est.),,6d
Advanced Cyber Threat Analyst,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Advanced Cyber Threat Analyst,,,"Arlington, VA",$82K - $186K (Employer est.),,30d+
"Security Architect, Lead","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,"Security Architect, Lead",,,"Washington, DC",$93K - $212K (Employer est.),,12d
Cyber Network Engineer Principal,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber Network Engineer Principal,,,"Chantilly, VA",$110K - $164K (Glassdoor est.),,9d
Lead Cyber Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Lead Cyber Engineer,,,"Chantilly, VA",$91K - $133K (Glassdoor est.),,9d
Federal - SailPoint Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Federal - SailPoint Engineer,,,"Arlington, VA",,,30d+
Cyber Threat Intelligence Analyst,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber Threat Intelligence Analyst,,,"Reston, VA",,,30d+
Information Systems Security Officer (ISSO),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Information Systems Security Officer (ISSO),,,"Herndon, VA",$120K - $160K (Employer est.),,1d
Senior Cyber Intelligence Analyst - All Source,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Senior Cyber Intelligence Analyst - All Source,,,"Washington, DC",$75K - $150K (Employer est.),,7d
"Mobile Security and Vulnerability Engineer, Mid","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,"Mobile Security and Vulnerability Engineer, Mid",,,"Quantico, VA",$58K - $133K (Employer est.),,30d+
